日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,-5°,-16°,多云~晴,南风1级,274 重度
2024-01-02 周二,-5°,-19°,晴,西北风2级,125 轻度
2024-01-03 周三,-5°,-19°,晴~多云,东南风2级,61 良
2024-01-04 周四,-7°,-17°,晴,西北风2级,79 良
2024-01-05 周五,-6°,-19°,多云,西北风2级,50 优
2024-01-06 周六,-6°,-22°,晴~阴,西北风1级,34 优
2024-01-07 周日,-10°,-22°,晴~多云,东南风2级,64 良
2024-01-08 周一,-4°,-16°,多云,东北风1级,136 轻度
2024-01-09 周二,-1°,-15°,多云~晴,西北风2级,56 良
2024-01-10 周三,-2°,-16°,多云~晴,东南风1级,87 良
2024-01-11 周四,0°,-13°,多云~晴,东北风1级,166 中度
2024-01-12 周五,0°,-12°,多云~晴,东南风1级,159 中度
2024-01-13 周六,2°,-13°,多云,西北风2级,138 轻度
2024-01-14 周日,-5°,-16°,晴,东南风1级,32 优
2024-01-15 周一,-2°,-14°,多云~晴,东南风2级,69 良
2024-01-16 周二,0°,-11°,多云~晴,东南风2级,99 良
2024-01-17 周三,1°,-7°,多云~晴,东南风1级,149 轻度
2024-01-18 周四,0°,-7°,雾~多云,东南风2级,198 中度
2024-01-19 周五,0°,-15°,大雪~小雪,东南风2级,152 中度
2024-01-20 周六,-11°,-21°,多云~晴,西北风3级,29 优
2024-01-21 周日,-14°,-24°,阴~晴,西北风3级,22 优
2024-01-22 周一,-13°,-25°,阴~晴,西北风2级,21 优
2024-01-23 周二,-11°,-24°,多云~晴,西北风2级,41 优
2024-01-24 周三,-10°,-23°,多云,西北风2级,120 轻度
2024-01-25 周四,-8°,-23°,多云~晴,西风1级,128 轻度
2024-01-26 周五,-9°,-23°,多云~晴,西南风1级,195 中度
2024-01-27 周六,-8°,-22°,多云~晴,南风1级,157 中度
2024-01-28 周日,-7°,-21°,多云~晴,东南风1级,180 中度
2024-01-29 周一,-4°,-17°,多云~晴,东南风2级,166 中度
2024-01-30 周二,-1°,-18°,多云,西北风2级,155 中度
2024-01-31 周三,-3°,-14°,阴,东北风1级,44 优
