日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,5°,-11°,晴,西南风1级,-
2023-12-02 周六,7°,-9°,阴~晴,东南风1级,-
2023-12-03 周日,7°,-6°,晴,南风1级,-
2023-12-04 周一,13°,-6°,多云~晴,西南风1级,-
2023-12-05 周二,14°,-4°,多云~晴,西北风3级,-
2023-12-06 周三,11°,-6°,多云~晴,西北风3级,-
2023-12-07 周四,18°,-3°,晴,西南风2级,-
2023-12-08 周五,18°,-4°,晴,西南风1级,-
2023-12-09 周六,13°,-3°,阴~多云,东北风2级,-
2023-12-10 周日,1°,-5°,小雪~中雪,东北风3级,-
2023-12-11 周一,0°,-9°,多云~晴,东南风1级,-
2023-12-12 周二,0°,-4°,多云~小雪,东南风1级,-
2023-12-13 周三,-1°,-4°,小雪,东北风2级,-
2023-12-14 周四,-2°,-6°,暴雪~多云,东北风2级,-
2023-12-15 周五,-7°,-15°,阴~晴,西北风3级,-
2023-12-16 周六,-8°,-20°,多云~晴,西北风3级,-
2023-12-17 周日,-7°,-14°,阴~多云,东北风1级,-
2023-12-18 周一,-3°,-12°,多云~晴,东南风1级,-
2023-12-19 周二,-2°,-16°,多云~晴,西北风2级,-
2023-12-20 周三,-6°,-21°,多云~晴,西北风2级,-
2023-12-21 周四,-9°,-19°,多云~晴,西南风1级,-
2023-12-22 周五,-9°,-14°,多云~晴,东南风1级,-
2023-12-23 周六,-3°,-15°,阴~晴,西北风1级,-
2023-12-24 周日,-2°,-14°,多云~晴,西南风1级,-
2023-12-25 周一,0°,-6°,多云~晴,东南风1级,-
2023-12-26 周二,4°,-10°,雾~晴,东北风1级,-
2023-12-27 周三,0°,-10°,晴,东风1级,-
2023-12-28 周四,1°,-9°,多云~晴,东北风1级,-
2023-12-29 周五,0°,-10°,多云~晴,东南风1级,-
2023-12-30 周六,5°,-12°,多云~晴,西北风3级,-
2023-12-31 周日,5°,-12°,晴,东北风1级,59 良
