日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,-3°,-17°,晴~多云,西南风3级,120 轻度
2024-01-02 周二,-3°,-16°,多云,西南风2级,175 中度
2024-01-03 周三,-5°,-14°,晴,西南风2级,133 轻度
2024-01-04 周四,3°,-11°,晴~多云,西南风5级,64 良
2024-01-05 周五,-5°,-17°,晴,西南风2级,35 优
2024-01-06 周六,-8°,-20°,多云~晴,西北风2级,58 良
2024-01-07 周日,-11°,-20°,晴,西南风1级,26 优
2024-01-08 周一,-3°,-14°,阴~多云,西南风4级,38 优
2024-01-09 周二,-5°,-17°,多云~晴,北风2级,67 良
2024-01-10 周三,-2°,-6°,阴~晴,西南风3级,80 良
2024-01-11 周四,1°,-14°,多云~晴,西风3级,60 良
2024-01-12 周五,-1°,-17°,晴,西南风2级,61 良
2024-01-13 周六,-1°,-12°,阴~阵雪,东南风1级,49 优
2024-01-14 周日,-6°,-19°,多云~晴,西北风2级,44 优
2024-01-15 周一,-4°,-16°,晴,西南风2级,60 良
2024-01-16 周二,2°,-6°,晴,南风3级,61 良
2024-01-17 周三,2°,-12°,阴~多云,西南风3级,86 良
2024-01-18 周四,-5°,-15°,多云~晴,东北风3级,60 良
2024-01-19 周五,-5°,-12°,多云,东北风4级,78 良
2024-01-20 周六,-7°,-17°,多云~小雪,东北风4级,53 良
2024-01-21 周日,-15°,-21°,小雪~多云,北风4级,33 优
2024-01-22 周一,-16°,-24°,阴~晴,北风4级,30 优
2024-01-23 周二,-12°,-19°,阴~多云,西南风2级,63 良
2024-01-24 周三,-6°,-17°,阴~晴,西北风1级,69 良
2024-01-25 周四,-2°,-16°,多云~晴,西南风2级,74 良
2024-01-26 周五,-2°,-18°,多云~晴,西南风1级,82 良
2024-01-27 周六,-3°,-17°,阴~晴,西北风1级,63 良
2024-01-28 周日,-1°,-16°,多云~晴,西南风2级,86 良
2024-01-29 周一,-5°,-19°,多云~晴,东北风2级,55 良
2024-01-30 周二,-2°,-15°,小雪~大雪,西南风1级,136 轻度
2024-01-31 周三,-12°,-27°,阴~晴,北风3级,74 良
