日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,10°,5°,阴~多云,东南风1级,-
2023-12-02 周六,15°,7°,阴~多云,西北风1级,-
2023-12-03 周日,12°,5°,多云,西南风1级,-
2023-12-04 周一,16°,6°,雾~阴,南风1级,-
2023-12-05 周二,17°,1°,雾~晴,北风2级,-
2023-12-06 周三,18°,3°,雾~晴,西南风1级,-
2023-12-07 周四,15°,5°,阴,南风1级,-
2023-12-08 周五,14°,6°,雾~多云,西北风1级,-
2023-12-09 周六,17°,7°,雾~小雨,南风1级,-
2023-12-10 周日,12°,6°,阴~多云,北风2级,-
2023-12-11 周一,16°,3°,多云~小雨,东北风2级,-
2023-12-12 周二,13°,9°,阴~小雨,东南风1级,-
2023-12-13 周三,9°,8°,小雨,北风1级,-
2023-12-14 周四,12°,3°,阴,东北风3级,-
2023-12-15 周五,3°,0°,阴~小雨,北风5级,-
2023-12-16 周六,5°,1°,阴~雨夹雪,北风2级,-
2023-12-17 周日,4°,0°,阴~小雨,南风1级,-
2023-12-18 周一,10°,1°,多云,北风1级,-
2023-12-19 周二,6°,0°,多云~晴,南风1级,-
2023-12-20 周三,5°,2°,阴~多云,南风1级,-
2023-12-21 周四,10°,1°,多云,北风1级,-
2023-12-22 周五,7°,0°,多云~晴,北风1级,-
2023-12-23 周六,6°,0°,多云~晴,北风2级,-
2023-12-24 周日,12°,1°,雾~多云,南风1级,-
2023-12-25 周一,9°,0°,雾~阴,南风1级,-
2023-12-26 周二,13°,0°,雾~晴,西南风1级,-
2023-12-27 周三,11°,2°,多云~小雨,南风1级,-
2023-12-28 周四,7°,4°,多云~阴,北风2级,-
2023-12-29 周五,14°,3°,阴~多云,西北风1级,-
2023-12-30 周六,11°,5°,多云,西南风1级,-
2023-12-31 周日,13°,5°,阴~小雨,西南风1级,150 轻度
